,winner,loser,court,Type,set1.1,set1.2,set2.1,set2.2,set3.1,set3.2
3026,Mikhail Youzhny,Ernests Gulbis,Outdoor,Hard,4,6,6,1,6,4
3027,Maximilian Marterer,Ramkumar Ramanathan,Outdoor,Hard,7,6,7,6,0,0
3028,John-Patrick Smith,Christian Harrison,Outdoor,Hard,2,6,6,3,6,3
3029,Joao Sousa,Tim Smyczek,Outdoor,Hard,6,2,6,3,0,0
3030,Ernests Gulbis,Andrey Rublev,Outdoor,Hard,6,2,6,4,0,0
3031,Janko Tipsarevic,John Mcnally,Outdoor,Hard,5,7,6,1,7,6
3032,Ramkumar Ramanathan,Dusan Lajovic,Outdoor,Hard,7,6,6,4,0,0
3033,Alexandr Dolgopolov,Reilly Opelka,Outdoor,Hard,6,4,4,6,7,6
3034,John-Patrick Smith,Vasek Pospisil,Outdoor,Hard,6,4,6,4,0,0
3035,Mitchell Krueger,Malek Jaziri,Outdoor,Hard,2,6,6,4,6,2
3036,Mackenzie McDonald,Denis Istomin,Outdoor,Hard,6,4,6,2,0,0
3037,Ante Pavic,Ernesto Escobedo,Outdoor,Hard,7,5,6,2,0,0
3038,Christian Harrison,Julien Benneteau,Outdoor,Hard,6,2,2,6,6,3
3039,Thomas Fabbiano,Nikola Mektic,Outdoor,Hard,7,5,6,4,0,0
3040,Mikhail Youzhny,Radu Albot,Outdoor,Hard,4,6,6,4,6,0
3041,Christopher Eubanks,Bjorn Fratangelo,Outdoor,Hard,7,6,3,6,7,6
3042,Maximilian Marterer,Prajnesh Gunneswaran,Outdoor,Hard,6,2,7,6,0,0
3043,Roberto Bautista Agut,Damir Dzumhur,Outdoor,Hard,6,4,6,4,0,0
3044,Roberto Bautista Agut,Jan-Lennard Struff,Outdoor,Hard,6,2,6,4,0,0
3045,Damir Dzumhur,Kyle Edmund,Outdoor,Hard,1,6,7,5,6,3
3046,Roberto Bautista Agut,Taylor Fritz,Outdoor,Hard,6,2,7,6,0,0
3047,Kyle Edmund,Steve Johnson,Outdoor,Hard,5,7,6,3,6,3
3048,Damir Dzumhur,Hyeon Chung,Outdoor,Hard,6,4,6,2,0,0
3049,Jan-Lennard Struff,Borna Coric,Outdoor,Hard,6,4,7,6,0,0
3050,Roberto Bautista Agut,Marcos Baghdatis,Outdoor,Hard,6,3,6,4,0,0
3051,Borna Coric,John Isner,Outdoor,Hard,7,5,6,2,0,0
3052,Steve Johnson,Carlos Berlocq,Outdoor,Hard,7,6,6,4,0,0
3053,Taylor Fritz,Paolo Lorenzi,Outdoor,Hard,7,6,7,6,0,0
3054,Hyeon Chung,Julien Benneteau,Outdoor,Hard,6,4,1,1,(,R
3055,Damir Dzumhur,Horacio Zeballos,Outdoor,Hard,7,5,6,3,0,0
3056,Kyle Edmund,Marton Fucsovics,Outdoor,Hard,6,2,6,1,0,0
3057,Jan-Lennard Struff,Andreas Seppi,Outdoor,Hard,6,3,6,7,7,6
3058,Roberto Bautista Agut,Dusan Lajovic,Outdoor,Hard,6,4,6,3,0,0
3059,Julien Benneteau,Pablo Carreno Busta,Outdoor,Hard,7,6,6,7,6,3
3060,John Isner,Andrey Kuznetsov,Outdoor,Hard,2,6,7,6,6,3
3061,Jan-Lennard Struff,Pablo Cuevas,Outdoor,Hard,7,6,7,5,0,0
3062,Steve Johnson,Yen-Hsun Lu,Outdoor,Hard,6,4,6,3,0,0
3063,Paolo Lorenzi,Thiago Monteiro,Outdoor,Hard,2,6,6,4,6,4
3064,Horacio Zeballos,Fernando Verdasco,Outdoor,Hard,3,6,7,5,6,4
3065,Damir Dzumhur,Gilles Simon,Outdoor,Hard,6,4,1,6,6,4
3066,Taylor Fritz,Yuichi Sugita,Outdoor,Hard,6,3,6,2,0,0
3067,Carlos Berlocq,Viktor Troicki,Outdoor,Hard,3,6,6,1,6,2
3068,Andreas Seppi,Aljaz Bedene,Outdoor,Hard,6,4,7,5,0,0
3069,Hyeon Chung,Andrey Rublev,Outdoor,Hard,5,7,6,1,6,1
3070,Borna Coric,Donald Young,Outdoor,Hard,4,6,6,4,6,2
3071,Kyle Edmund,Daniil Medvedev,Outdoor,Hard,2,6,6,2,7,6
3072,Marcos Baghdatis,Jiri Vesely,Outdoor,Hard,6,2,7,6,0,0
3073,Marton Fucsovics,Joao Sousa,Outdoor,Hard,6,3,3,6,6,1
3074,Marcos Baghdatis,Ricardas Berankis,Outdoor,Hard,7,5,7,5,0,0
3075,Julien Benneteau,Pierre-Hugues Herbert,Outdoor,Hard,6,3,6,2,0,0
3076,Carlos Berlocq,Alex Bolt,Outdoor,Hard,6,2,6,4,0,0
3077,Damir Dzumhur,Denis Istomin,Outdoor,Hard,6,4,6,4,0,0
3078,Kyle Edmund,Thomas Fabbiano,Outdoor,Hard,6,2,6,3,0,0
3079,Taylor Fritz,Malek Jaziri,Outdoor,Hard,4,6,6,4,6,3
3080,Marton Fucsovics,Ernests Gulbis,Outdoor,Hard,7,6,6,2,0,0
3081,Andrey Kuznetsov,Nicolas Kicker,Outdoor,Hard,7,5,6,2,0,0
3082,Dusan Lajovic,Petros Chrysochos,Outdoor,Hard,6,2,6,3,0,0
3083,Yen-Hsun Lu,Jonathan Eysseric,Outdoor,Hard,6,2,6,1,0,0
3084,Thiago Monteiro,Alexandr Dolgopolov,Outdoor,Hard,6,3,6,3,0,0
3085,Andrey Rublev,Steve Darcis,Outdoor,Hard,6,4,6,4,0,0
3086,Andreas Seppi,Janko Tipsarevic,Outdoor,Hard,6,2,6,2,0,0
3087,Jan-Lennard Struff,Norbert Gombos,Outdoor,Hard,7,6,7,6,0,0
3088,Donald Young,Rogerio Dutra Silva,Outdoor,Hard,6,4,6,2,0,0
3089,Horacio Zeballos,Dominik Koepfer,Outdoor,Hard,6,2,6,1,0,0
3090,Kyle Edmund,Jonathan Eysseric,Outdoor,Hard,6,3,6,1,0,0
3091,Rogerio Dutra Silva,Dominik Koepfer,Outdoor,Hard,6,4,6,4,0,0
3092,Marton Fucsovics,Kevin King,Outdoor,Hard,6,2,6,4,0,0
3093,Alex Bolt,Borna Gojo,Outdoor,Hard,6,0,3,6,6,1
3094,Kyle Edmund,Max Purcell,Outdoor,Hard,7,6,6,4,0,0
3095,Rogerio Dutra Silva,Gonzalo Escobar,Outdoor,Hard,4,6,7,6,7,5
3096,Borna Gojo,Ruben Bemelmans,Outdoor,Hard,7,6,3,6,7,6
3097,Marton Fucsovics,Nicolaas Scholtz,Outdoor,Hard,6,1,6,2,0,0
3098,Kevin King,Alex de Minaur,Outdoor,Hard,6,1,6,2,0,0
3099,Dominik Koepfer,Franko Skugor,Outdoor,Hard,2,6,7,6,6,3
3100,Jonathan Eysseric,Facundo Mena,Outdoor,Hard,6,3,6,4,0,0
3101,Alex Bolt,Skander Mansouri,Outdoor,Hard,7,6,6,2,0,0
3102,Rafael Nadal,Kevin Anderson,Outdoor,Hard,6,3,6,3,6,4
3103,Rafael Nadal,Juan Martin del Potro,Outdoor,Hard,4,6,6,0,6,3
3104,Kevin Anderson,Pablo Carreno Busta,Outdoor,Hard,4,6,7,5,6,3
3105,Rafael Nadal,Andrey Rublev,Outdoor,Hard,6,1,6,2,6,2
3106,Juan Martin del Potro,Roger Federer,Outdoor,Hard,7,5,3,6,7,6
3107,Pablo Carreno Busta,Diego Schwartzman,Outdoor,Hard,6,4,6,4,6,2
3108,Kevin Anderson,Sam Querrey,Outdoor,Hard,7,6,6,7,6,3
3109,Rafael Nadal,Alexandr Dolgopolov,Outdoor,Hard,6,2,6,4,6,1
3110,Roger Federer,Philipp Kohlschreiber,Outdoor,Hard,6,4,6,2,7,5
3111,Juan Martin del Potro,Dominic Thiem,Outdoor,Hard,1,6,2,6,6,1
3112,Andrey Rublev,David Goffin,Outdoor,Hard,7,5,7,6,6,3
3113,Pablo Carreno Busta,Denis Shapovalov,Outdoor,Hard,7,6,7,6,7,6
3114,Diego Schwartzman,Lucas Pouille,Outdoor,Hard,7,6,7,5,2,6
3115,Sam Querrey,Mischa Zverev,Outdoor,Hard,6,2,6,2,6,1
3116,Kevin Anderson,Paolo Lorenzi,Outdoor,Hard,6,4,6,3,6,7
3117,Rafael Nadal,Leonardo Mayer,Outdoor,Hard,6,7,6,3,6,1
3118,Roger Federer,Feliciano Lopez,Outdoor,Hard,6,3,6,3,7,5
3119,Diego Schwartzman,Marin Cilic,Outdoor,Hard,4,6,7,5,7,5
3120,Dominic Thiem,Adrian Mannarino,Outdoor,Hard,7,5,6,3,6,4
3121,David Goffin,Gael Monfils,Outdoor,Hard,7,5,5,1,(,R
3122,Mischa Zverev,John Isner,Outdoor,Hard,6,4,6,3,7,6
3123,Juan Martin del Potro,Roberto Bautista Agut,Outdoor,Hard,6,3,6,3,6,4
3124,Pablo Carreno Busta,Nicolas Mahut,Outdoor,Hard,6,3,6,4,6,3
3125,Lucas Pouille,Mikhail Kukushkin,Outdoor,Hard,2,6,6,3,6,4
3126,Sam Querrey,Radu Albot,Outdoor,Hard,4,6,6,2,6,4
3127,Kevin Anderson,Borna Coric,Outdoor,Hard,6,4,6,3,6,2
3128,Philipp Kohlschreiber,John Millman,Outdoor,Hard,7,5,6,2,6,4
3129,Alexandr Dolgopolov,Viktor Troicki,Outdoor,Hard,6,1,6,0,6,4
3130,Paolo Lorenzi,Thomas Fabbiano,Outdoor,Hard,6,2,6,4,6,4
3131,Andrey Rublev,Damir Dzumhur,Outdoor,Hard,6,4,6,4,5,7
3132,Denis Shapovalov,Kyle Edmund,Outdoor,Hard,3,6,6,3,6,3
3133,Rafael Nadal,Taro Daniel,Outdoor,Hard,4,6,6,3,6,2
3134,Roger Federer,Mikhail Youzhny,Outdoor,Hard,6,1,6,7,4,6
3135,Borna Coric,Alexander Zverev,Outdoor,Hard,3,6,7,5,7,6
3136,Marin Cilic,Florian Mayer,Outdoor,Hard,6,3,6,3,6,3
3137,Dominic Thiem,Taylor Fritz,Outdoor,Hard,6,4,6,4,4,6
3138,Andrey Rublev,Grigor Dimitrov,Outdoor,Hard,7,5,7,6,6,3
3139,Denis Shapovalov,Jo-Wilfried Tsonga,Outdoor,Hard,6,4,6,4,7,6
3140,David Goffin,Guido Pella,Outdoor,Hard,3,6,7,6,6,7
3141,John Isner,Hyeon Chung,Outdoor,Hard,6,3,6,4,7,5
3142,Roberto Bautista Agut,Dustin Brown,Outdoor,Hard,6,1,6,3,7,6
3143,Pablo Carreno Busta,Cameron Norrie,Outdoor,Hard,6,2,6,4,6,3
3144,Alexandr Dolgopolov,Tomas Berdych,Outdoor,Hard,3,6,6,1,7,6
3145,Lucas Pouille,Jared Donaldson,Outdoor,Hard,7,5,6,4,4,6
3146,Sam Querrey,Dudi Sela,Outdoor,Hard,6,4,6,1,6,4
3147,Gael Monfils,Donald Young,Outdoor,Hard,6,3,6,7,6,4
3148,Paolo Lorenzi,Gilles Muller,Outdoor,Hard,6,7,6,3,7,6
3149,Nicolas Mahut,Albert Ramos-Vinolas,Outdoor,Hard,4,6,6,4,4,6
3150,Mischa Zverev,Benoit Paire,Outdoor,Hard,6,3,6,2,3,6
3151,Juan Martin del Potro,Adrian Menendez-Maceiras,Outdoor,Hard,6,2,6,3,7,6
3152,Kevin Anderson,Ernests Gulbis,Outdoor,Hard,6,3,7,5,6,4
3153,Diego Schwartzman,Janko Tipsarevic,Outdoor,Hard,6,2,6,4,7,5
3154,Adrian Mannarino,Bjorn Fratangelo,Outdoor,Hard,6,3,6,7,6,1
3155,Feliciano Lopez,Fernando Verdasco,Outdoor,Hard,6,3,6,2,3,6
3156,Philipp Kohlschreiber,Santiago Giraldo,Outdoor,Hard,6,2,6,1,3,0
3157,Radu Albot,Yen-Hsun Lu,Outdoor,Hard,6,2,7,6,5,7
3158,Damir Dzumhur,Cedrik-Marcel Stebe,Outdoor,Hard,4,6,6,4,6,0
3159,Kyle Edmund,Steve Johnson,Outdoor,Hard,7,5,6,2,7,6
3160,Thomas Fabbiano,Jordan Thompson,Outdoor,Hard,2,6,6,2,3,6
3161,Mikhail Kukushkin,Evgeny Donskoy,Outdoor,Hard,6,4,6,4,7,5
3162,Leonardo Mayer,Yuichi Sugita,Outdoor,Hard,6,7,6,4,6,3
3163,John Millman,Malek Jaziri,Outdoor,Hard,6,1,7,6,6,1
3164,Viktor Troicki,Stefano Travaglia,Outdoor,Hard,7,6,7,5,6,0
3165,Rafael Nadal,Dusan Lajovic,Outdoor,Hard,7,6,6,2,6,2
3166,Roger Federer,Frances Tiafoe,Outdoor,Hard,4,6,6,2,6,1
3167,Alexander Zverev,Darian King,Outdoor,Hard,7,6,7,5,6,4
3168,Marin Cilic,Tennys Sandgren,Outdoor,Hard,6,4,6,3,3,6
3169,Dominic Thiem,Alex de Minaur,Outdoor,Hard,6,4,6,1,6,1
3170,Grigor Dimitrov,Vaclav Safranek,Outdoor,Hard,6,1,6,4,6,2
3171,Jo-Wilfried Tsonga,Marius Copil,Outdoor,Hard,6,3,6,3,6,4
3172,David Goffin,Julien Benneteau,Outdoor,Hard,6,4,2,6,6,4
3173,John Isner,Pierre-Hugues Herbert,Outdoor,Hard,6,1,6,3,4,6
3174,Roberto Bautista Agut,Andreas Seppi,Outdoor,Hard,6,2,4,6,6,2
3175,Pablo Carreno Busta,Evan King,Outdoor,Hard,6,3,6,2,7,6
3176,Jordan Thompson,Jack Sock,Outdoor,Hard,6,2,7,6,1,6
3177,John Millman,Nick Kyrgios,Outdoor,Hard,6,3,1,6,6,4
3178,Tomas Berdych,Ryan Harrison,Outdoor,Hard,6,4,6,2,7,6
3179,Lucas Pouille,Ruben Bemelmans,Outdoor,Hard,6,3,6,4,6,4
3180,Sam Querrey,Gilles Simon,Outdoor,Hard,6,4,6,3,6,4
3181,Gael Monfils,Jeremy Chardy,Outdoor,Hard,7,6,6,3,6,4
3182,Gilles Muller,Bernard Tomic,Outdoor,Hard,3,6,6,3,6,4
3183,Albert Ramos-Vinolas,Denis Istomin,Outdoor,Hard,4,6,7,6,7,5
3184,Mikhail Kukushkin,David Ferrer,Outdoor,Hard,4,6,6,3,6,2
3185,Stefano Travaglia,Fabio Fognini,Outdoor,Hard,6,4,7,6,3,6
3186,Mischa Zverev,Thai-Son Kwiatkowski,Outdoor,Hard,7,6,4,6,4,6
3187,Juan Martin del Potro,Henri Laaksonen,Outdoor,Hard,6,4,7,6,7,6
3188,Yen-Hsun Lu,Karen Khachanov,Outdoor,Hard,4,6,6,2,6,3
3189,Leonardo Mayer,Richard Gasquet,Outdoor,Hard,3,6,6,2,6,4
3190,Damir Dzumhur,Pablo Cuevas,Outdoor,Hard,7,5,7,6,6,1
3191,Kevin Anderson,JC Aragone,Outdoor,Hard,6,3,6,3,6,1
3192,Diego Schwartzman,Carlos Berlocq,Outdoor,Hard,6,2,6,1,6,3
3193,Adrian Mannarino,Ricardas Berankis,Outdoor,Hard,6,2,6,4,6,2
3194,Feliciano Lopez,Andrey Kuznetsov,Outdoor,Hard,6,4,7,6,6,7
3195,Kyle Edmund,Robin Haase,Outdoor,Hard,6,3,7,5,6,3
3196,Philipp Kohlschreiber,Tim Smyczek,Outdoor,Hard,6,1,6,4,6,4
3197,Radu Albot,Ernesto Escobedo,Outdoor,Hard,7,5,4,6,6,2
3198,Dustin Brown,Thomaz Bellucci,Outdoor,Hard,6,4,6,3,6,2
3199,Hyeon Chung,Horacio Zeballos,Outdoor,Hard,3,6,7,6,6,4
3200,Borna Coric,Jiri Vesely,Outdoor,Hard,7,6,7,6,6,2
3201,Taro Daniel,Tommy Paul,Outdoor,Hard,6,1,4,6,4,6
3202,Alexandr Dolgopolov,Jan-Lennard Struff,Outdoor,Hard,3,6,6,3,6,2
3203,Jared Donaldson,Nikoloz Basilashvili,Outdoor,Hard,6,0,4,6,6,3
3204,Evgeny Donskoy,Andreas Haider-Maurer,Outdoor,Hard,7,6,5,1,(,R
3205,Thomas Fabbiano,John-Patrick Smith,Outdoor,Hard,7,6,6,4,3,6
3206,Bjorn Fratangelo,Ivo Karlovic,Outdoor,Hard,7,6,6,4,3,6
3207,Taylor Fritz,Marcos Baghdatis,Outdoor,Hard,6,4,6,4,6,3
3208,Santiago Giraldo,Vincent Millot,Outdoor,Hard,6,1,6,0,4,6
3209,Ernests Gulbis,Alessandro Giannessi,Outdoor,Hard,6,4,6,7,6,2
3210,Malek Jaziri,Thiago Monteiro,Outdoor,Hard,7,6,4,6,6,3
3211,Steve Johnson,Nicolas Almagro,Outdoor,Hard,6,4,7,6,7,6
3212,Paolo Lorenzi,Joao Sousa,Outdoor,Hard,4,6,6,3,7,6
3213,Nicolas Mahut,Marton Fucsovics,Outdoor,Hard,6,3,2,6,6,4
3214,Florian Mayer,Rogerio Dutra Silva,Outdoor,Hard,7,5,0,6,6,3
3215,Adrian Menendez-Maceiras,Patrick Kypson,Outdoor,Hard,6,4,7,6,6,1
3216,Cameron Norrie,Dmitry Tursunov,Outdoor,Hard,7,6,6,1,(,R
3217,Benoit Paire,Lukas Lacko,Outdoor,Hard,6,3,6,2,7,6
3218,Guido Pella,Steve Darcis,Outdoor,Hard,6,1,6,2,6,0
3219,Andrey Rublev,Aljaz Bedene,Outdoor,Hard,6,1,6,4,6,4
3220,Dudi Sela,Christopher Eubanks,Outdoor,Hard,6,2,6,4,6,2
3221,Denis Shapovalov,Daniil Medvedev,Outdoor,Hard,7,5,6,1,6,2
3222,Cedrik-Marcel Stebe,Nicolas Kicker,Outdoor,Hard,5,7,6,3,6,1
3223,Yuichi Sugita,Geoffrey Blancaneaux,Outdoor,Hard,6,2,6,2,6,0
3224,Janko Tipsarevic,Thanasi Kokkinakis,Outdoor,Hard,6,7,3,6,6,1
3225,Viktor Troicki,Norbert Gombos,Outdoor,Hard,3,6,6,3,3,6
3226,Fernando Verdasco,Vasek Pospisil,Outdoor,Hard,6,2,(,R,0,0
3227,Donald Young,Maximilian Marterer,Outdoor,Hard,6,3,1,6,6,1
3228,Mikhail Youzhny,Blaz Kavcic,Outdoor,Hard,6,3,5,7,6,4
3229,Peter Gojowczyk,Benoit Paire,Indoor,Hard,7,5,6,2,0,0
3230,Peter Gojowczyk,Mischa Zverev,Indoor,Hard,6,3,1,0,(,R
3231,Benoit Paire,Nikoloz Basilashvili,Indoor,Hard,6,1,7,6,0,0
3232,Benoit Paire,David Goffin,Indoor,Hard,7,6,5,7,7,6
3233,Mischa Zverev,Kenny De Schepper,Indoor,Hard,7,5,7,6,0,0
3234,Nikoloz Basilashvili,Denis Istomin,Indoor,Hard,7,5,6,3,0,0
3235,Peter Gojowczyk,Marius Copil,Indoor,Hard,6,2,6,4,0,0
3236,David Goffin,Nicolas Almagro,Indoor,Hard,3,6,6,3,6,3
3237,Marius Copil,Lucas Pouille,Indoor,Hard,7,6,7,6,0,0
3238,Nikoloz Basilashvili,Gilles Muller,Indoor,Hard,6,4,6,4,0,0
3239,Mischa Zverev,Henri Laaksonen,Indoor,Hard,6,4,6,4,0,0
3240,Benoit Paire,Marcel Granollers,Indoor,Hard,6,1,6,2,0,0
3241,Peter Gojowczyk,Gilles Simon,Indoor,Hard,6,4,7,6,0,0
3242,Kenny De Schepper,Nicolas Mahut,Indoor,Hard,6,4,7,5,0,0
3243,Denis Istomin,Yannick Maden,Indoor,Hard,6,3,6,7,7,6
3244,Mischa Zverev,Pierre-Hugues Herbert,Indoor,Hard,6,7,6,3,6,2
3245,Denis Istomin,Richard Gasquet,Indoor,Hard,1,6,6,4,6,4
3246,Benoit Paire,Stefanos Tsitsipas,Indoor,Hard,6,2,6,4,0,0
3247,Gilles Simon,Andreas Seppi,Indoor,Hard,6,3,6,0,0,0
3248,Nicolas Almagro,Julien Benneteau,Indoor,Hard,7,6,7,5,0,0
3249,Nikoloz Basilashvili,Vincent Millot,Indoor,Hard,2,6,7,6,6,4
3250,Marius Copil,Alessandro Giannessi,Indoor,Hard,6,3,6,2,0,0
3251,Peter Gojowczyk,Norbert Gombos,Indoor,Hard,3,6,7,6,6,3
3252,Marcel Granollers,Simone Bolelli,Indoor,Hard,7,6,3,6,7,6
3253,Henri Laaksonen,Paul-Henri Mathieu,Indoor,Hard,7,5,6,2,0,0
3254,Yannick Maden,Nicolas Kicker,Indoor,Hard,6,4,3,6,6,3
3255,Nicolas Mahut,Dustin Brown,Indoor,Hard,6,1,7,6,0,0
3256,Peter Gojowczyk,Yannick Mertens,Indoor,Hard,6,3,6,4,0,0
3257,Stefanos Tsitsipas,Yannick Maden,Indoor,Hard,6,4,6,7,6,3
3258,Vincent Millot,Kenny De Schepper,Indoor,Hard,7,5,7,6,0,0
3259,Simone Bolelli,Ugo Humbert,Indoor,Hard,3,6,7,6,7,6
3260,Peter Gojowczyk,Gleb Sakharov,Indoor,Hard,6,4,6,2,0,0
3261,Stefanos Tsitsipas,Roberto Ortega-Olmedo,Indoor,Hard,6,2,7,5,0,0
3262,Vincent Millot,Bernabe Zapata Miralles,Indoor,Hard,7,5,6,4,0,0
3263,Yannick Maden,Hugo Schott,Indoor,Hard,6,2,7,5,0,0
3264,Yannick Mertens,Calvin Hemery ,Indoor,Hard,7,5,6,1,0,0
3265,Simone Bolelli,Tobias Kamke,Indoor,Hard,7,6,6,3,0,0
3266,Kenny De Schepper,Axel Michon,Indoor,Hard,6,1,6,2,0,0
3267,Ugo Humbert,Guillermo Duran,Indoor,Hard,2,6,6,1,7,6
3268,Damir Dzumhur,Fabio Fognini,Indoor,Hard,3,6,6,4,6,2
3269,Fabio Fognini,Roberto Bautista Agut,Indoor,Hard,2,6,7,6,7,6
3270,Damir Dzumhur,Jan-Lennard Struff,Indoor,Hard,6,3,7,5,0,0
3271,Roberto Bautista Agut,Viktor Troicki,Indoor,Hard,6,1,6,2,0,0
3272,Jan-Lennard Struff,Jo-Wilfried Tsonga,Indoor,Hard,3,6,6,3,6,2
3273,Fabio Fognini,Ricardas Berankis,Indoor,Hard,6,3,6,0,0,0
3274,Damir Dzumhur,Liam Broady,Indoor,Hard,6,3,2,6,6,4
3275,Roberto Bautista Agut,Rogerio Dutra Silva,Indoor,Hard,6,4,4,6,6,0
3276,Jo-Wilfried Tsonga,Joao Sousa,Indoor,Hard,7,6,3,6,6,2
3277,Fabio Fognini,Mikhail Youzhny,Indoor,Hard,6,4,4,6,6,4
3278,Liam Broady,Adrian Mannarino,Indoor,Hard,2,6,6,4,6,0
3279,Ricardas Berankis,Philipp Kohlschreiber,Indoor,Hard,(,W,0,0,0,0
3280,Viktor Troicki,Guido Pella,Indoor,Hard,7,6,4,6,6,4
3281,Jan-Lennard Struff,Thomas Fabbiano,Indoor,Hard,6,1,6,4,0,0
3282,Damir Dzumhur,Marcos Baghdatis,Indoor,Hard,6,4,7,6,0,0
3283,Philipp Kohlschreiber,Evgeny Tyurnev,Indoor,Hard,6,1,6,3,0,0
3284,Damir Dzumhur,Paolo Lorenzi,Indoor,Hard,7,5,7,5,0,0
3285,Viktor Troicki,Andrey Kuznetsov,Indoor,Hard,7,6,7,6,0,0
3286,Jan-Lennard Struff,Borna Coric,Indoor,Hard,3,6,6,2,6,4
3287,Marcos Baghdatis,Horacio Zeballos,Indoor,Hard,7,5,6,4,0,0
3288,Ricardas Berankis,Daniel Masur,Indoor,Hard,3,6,6,3,6,2
3289,Liam Broady,Ernests Gulbis,Indoor,Hard,6,3,6,0,0,0
3290,Rogerio Dutra Silva,Radu Albot,Indoor,Hard,2,6,6,2,6,2
3291,Thomas Fabbiano,Daniil Medvedev,Indoor,Hard,7,6,7,5,0,0
3292,Guido Pella,Dusan Lajovic,Indoor,Hard,7,6,6,3,0,0
3293,Joao Sousa,Evgeny Donskoy,Indoor,Hard,7,6,6,3,0,0
3294,Mikhail Youzhny,John-Patrick Smith,Indoor,Hard,7,6,6,4,0,0
3295,Liam Broady,Radu Albot,Indoor,Hard,6,1,2,6,7,6
3296,John-Patrick Smith,Mikhail Elgin,Indoor,Hard,7,6,6,2,0,0
3297,Daniel Masur,Alexey Vatutin,Indoor,Hard,6,2,6,2,0,0
3298,Ernests Gulbis,Ivan Nedelko,Indoor,Hard,6,2,6,1,0,0
3299,Radu Albot,Alexander Kudryavtsev,Indoor,Hard,7,5,7,5,0,0
3300,John-Patrick Smith,Ivan Gakhov,Indoor,Hard,6,2,6,0,0,0
3301,Alexey Vatutin,Evgeny Karlovskiy,Indoor,Hard,7,5,6,0,0,0
3302,Ernests Gulbis,Alexander Vasilenko,Indoor,Hard,4,6,6,3,6,2
3303,Daniel Masur,Teymuraz Gabashvili,Indoor,Hard,3,6,6,1,7,5
3304,Liam Broady,Filip Horansky,Indoor,Hard,6,3,6,1,0,0
3305,Mikhail Elgin,Petr Michnev,Indoor,Hard,7,6,6,4,0,0
3306,Ivan Nedelko,Pedja Krstin,Indoor,Hard,6,3,6,4,0,0
3307,Denis Istomin,Marcos Baghdatis,Outdoor,Hard,3,2,(,R,0,0
3308,Denis Istomin,Yuichi Sugita,Outdoor,Hard,6,2,6,7,6,0
3309,Marcos Baghdatis,Guido Pella,Outdoor,Hard,5,7,6,4,6,2
3310,Yuichi Sugita,Dusan Lajovic,Outdoor,Hard,6,2,6,4,0,0
3311,Marcos Baghdatis,Yen-Hsun Lu,Outdoor,Hard,6,3,6,2,0,0
3312,Denis Istomin,Jared Donaldson,Outdoor,Hard,2,6,7,5,7,6
3313,Guido Pella,Taylor Fritz,Outdoor,Hard,6,3,7,6,0,0
3314,Guido Pella,Dominic Thiem,Outdoor,Hard,7,6,6,4,0,0
3315,Dusan Lajovic,Albert Ramos-Vinolas,Outdoor,Hard,6,2,6,3,0,0
3316,Denis Istomin,Karen Khachanov,Outdoor,Hard,6,3,6,2,0,0
3317,Yen-Hsun Lu,Andrey Rublev,Outdoor,Hard,6,2,6,1,0,0
3318,Yuichi Sugita,Thiago Monteiro,Outdoor,Hard,6,4,6,1,0,0
3319,Jared Donaldson,Kyle Edmund,Outdoor,Hard,6,0,1,6,6,4
3320,Marcos Baghdatis,Peter Gojowczyk,Outdoor,Hard,5,7,6,3,6,2
3321,Taylor Fritz,Nikoloz Basilashvili,Outdoor,Hard,6,3,3,6,6,1
3322,Yuichi Sugita,Mate Pavic,Outdoor,Hard,6,1,(,R,0,0
3323,Kyle Edmund,Bernard Tomic,Outdoor,Hard,6,4,6,2,0,0
3324,Nikoloz Basilashvili,Viktor Troicki,Outdoor,Hard,6,3,2,6,6,2
3325,Peter Gojowczyk,Leonardo Mayer,Outdoor,Hard,6,2,6,2,0,0
3326,Marcos Baghdatis,Vasek Pospisil,Outdoor,Hard,6,7,7,6,6,4
3327,Jared Donaldson,Stefanos Tsitsipas,Outdoor,Hard,6,7,7,5,7,5
3328,Taylor Fritz,Di Wu,Outdoor,Hard,7,5,6,1,0,0
3329,Denis Istomin,Jan-Lennard Struff,Outdoor,Hard,6,3,7,6,0,0
3330,Dusan Lajovic,Adrian Menendez-Maceiras,Outdoor,Hard,6,3,7,6,0,0
3331,Yen-Hsun Lu,Mikael Ymer,Outdoor,Hard,6,2,6,3,0,0
3332,Thiago Monteiro,Yibing Wu,Outdoor,Hard,1,6,7,6,6,2
3333,Guido Pella,Borna Coric,Outdoor,Hard,6,4,7,6,0,0
3334,Taylor Fritz,Marco Chiudinelli,Outdoor,Hard,6,4,6,2,0,0
3335,Stefanos Tsitsipas,Marcos Giron,Outdoor,Hard,6,1,6,2,0,0
3336,Adrian Menendez-Maceiras,Chuhan Wang,Outdoor,Hard,6,0,6,4,0,0
3337,Mate Pavic,Zihao Xia,Outdoor,Hard,6,4,7,6,0,0
3338,Taylor Fritz,Aisam-Ul-Haq Qureshi,Outdoor,Hard,6,3,6,4,0,0
3339,Stefanos Tsitsipas,Fajing Sun,Outdoor,Hard,6,4,6,2,0,0
3340,Adrian Menendez-Maceiras,Rigele Te,Outdoor,Hard,6,4,6,1,0,0
